"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Central African Republic","CAF","Money (current LCU)","FM.LBL.MONY.CN","2790000000","2920000000","3450000000","4050000000","4140000000","5330000000","5280000000","5770000000","7418000000","6834000000","7672000000","7770000000","9129000000","9229000000","12317000000","12134000000","16931000000","18227000000","20609000000","26172000000","34627999999.873","42357999999.873","40728999999.873","45399000000","48333000000","52422000000","52537000000","54370000000","49715000000","56365000000","54374000000","52736000000","51047000000","59420000000","103395000000","111237000000","116644000000","107186000000","87579000000","98644000000","101831000000","98041000000","91878000000","84232000000","95254000000","112801000000","104260000000","94589000000","110572000000","125480000000","144371000000","159064000000","162781000000","169626000000","",
"Canada","CAN","Money (current LCU)","FM.LBL.MONY.CN","6540000000","6956000000","7070000000","7392000000","7872000000","8395000000","8933000000","9497000000","10632000000","10852000000","11096000000","12862000000","14760000000","16491000000","17655000000","21572000000","21455000000","23901000000","25953000000","26842000000","30683000000","37669000000","41275000000","46411000000","56727000000","76380000000","87284000000","92557000000","98433000000","104969000000","106000000000","110424000000","117408000000","124448000000","131553000000","143629000000","160836000000","174282000000","183995000000","203488000000","221319000000","400039989000","426174812000","442522063000","479324189000","505155513000","559331957000","497556968000","615015871000","","","","","","",
"Central Europe and the Baltics","CEB","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Money (current LCU)","FM.LBL.MONY.CN","18283999999.9668","19762999999.9507","23048999999.8257","24547999999.8574","25823999999.8574","26769999999.8569","27507999999.8569","29169999999.873","32400999999.8711","32569999999.875","36016999999.875","42496000000","46509000000","48095999999.9961","45946999999.9961","47881999999.9961","53330999999.9961","53829000000","66515000000","65258000000","65163000000","64926999999.875","71135000000","75821999999.8748","75821000000","73928000000","75539000000","85983000000","88000000000","85649000000","84298000000","82893000000","86230000000","91240000000","94864000000","100647000000","128176700000","139775900000","149309674900.33","163436971254.19","160029897179.39","173568269995.99","191257920237.02","237414109969.27","224056148731.16","236095540585","230084244640","239111598350","288198829415","361731191380","387347000045","435660880215","489246375535","507984360365","",
"Channel Islands","CHI","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Money (current LCU)","FM.LBL.MONY.CN","","432000","557000","747000","1129000","1367000","2594000","3240000","4471000","6058000","10027000","21273000","54100000","228600000","836700000","2978700000","11326000000","19800000000","38093000000","65316000000","98327000000","109164000000","113006000000","131102000000","160697000000","199967000000","286126000000","345171000000","506700000000","592528000000","732587000000","1060304000000","1340693000000","1623122000000","1880237000000","2300002000000","2676958390000","3222391568546.36","2955402216000","3573862676000","3937212148000","4258936829999.99","4751544970000","5261530530000","6139022478000","6958175976116","8043420255064","8756488276981","13510679252095.1","16388781117516.9","19388436569094.2","21428765250038.4","24434752658669.3","27071580050123.7","",
"China","CHN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","58010000000","58040000000","92150000000","114880000000","134520000000","148840000000","174890000000","244940000000","301730000000","385900000000","457400000000","548740000000","583420000000","700950000000","898780000000","1171430000000","1546940000000","1967430000000","2308350000000","2756380000000","3480654000000","3869048000000","4697641000000","5454098000000","6168854000000","7088178000000","8411858000000","9581544000000","10690319000000","12603514000000","15256008000000","16621713000000","22144580569192.7","26662153969473.8","28984767106100","30866426583000","33729107320593.8","",
"Cote d'Ivoire","CIV","Money (current LCU)","FM.LBL.MONY.CN","","","29590000000","34090000000","40570000000","42240000000","46410000000","48520000000","59100000000","69770000000","83540000000","92080000000","103160000000","117940000000","162810000000","179840000000","260100000000","383080000000","415550000000","433780000000","438730000000","464390000000","460310000000","488010000000","574570000000","620184500000","637424700000","598948800000","577963900000","511216200000","526398700000","510072300000","489441700000","493980200000","798849700000","944519300000","966443500000","1079973800000","1219328900000","1197992500000","1156933400000","1324810200000","1750378800000","1142727800000","1300350600000","1397058500000","1551046500000","1983265800000","1999469500000","2341650100000","2736635300000","3141973300000","3257348100000","3671896400000","",
"Cameroon","CMR","Money (current LCU)","FM.LBL.MONY.CN","14340000000","14390000000","18180000000","18900000000","21000000000","20830000000","24780000000","26460000000","31669000000","36470000000","39477000000","44144000000","47348000000","55571000000","73660000000","77199000000","96190000000","128421000000","148526000000","186281000000","210992999999.996","262373000000","301910000000","380671000000","417433000000","434320000000","451871000000","391207000000","400001000000","407947000000","380201000000","392709000000","311330000000","267460000000","361290000000","319242000000","314141000000","423899000000","485285000000","537734000000","631064000000","595087000000","730299000000","679481000000","745693000000","755433000000","821530000000","1031223000000","1201833000000","1307045000000","1454184000000","1640331000000","1595868000000","1799908000000","",
"Congo, Rep.","COG","Money (current LCU)","FM.LBL.MONY.CN","7350000000","8160000000","7020000000","8150000000","7680000000","7170000000","7750000000","9180000000","10397000000","11162000000","13076000000","14106000000","14916000000","17176000000","23997000000","27169000000","31344000000","30890000000","33178000000","39823000000","54559999999.748","75673999999.748","98619999999.6094","91905000000","102688000000","113920000000","99236000000","103975000000","95875000000","94124000000","118081000000","108579000000","119317000000","95760000000","134490000000","134845000000","153175000000","166563000000","143976000000","184033000000","309578000000","216572000000","246061000000","210023000000","257060000000","359854000000","537651000000","632119000000","834642254059","871033000000","1165809000000","1627683000000","1941388000000","1891494000000","",
"Colombia","COL","Money (current LCU)","FM.LBL.MONY.CN","4115000000","5129000000","6167000000","6945000000","8586000000","9962000000","11568000000","14053000000","16251000000","19680000000","22547000000","24979000000","31814000000","42025000000","49357000000","64068000000","86594000000","114102000000","134869000000","167601000000","214267000000","259393000000","325686000000","408743000000","503428000000","561029000000","","1049380000000","1318401000000","","1951630000000","2523600000000","3559500000000","4610500000000","5842600000000","7056100000000","8426410000000","10257836329080","10139137388000","12510368456670","15975738369500","17629318221150.7","20460831366548.6","23844052266513.9","27601919803995.3","32756183887330.7","38884227601475.1","43360812782803.8","47427468550432.3","50467542822000","59464548426718.7","66543883453458.8","71758016941881.3","83665437433682.7","",
