All figures œmn unless otherwise stated,Narrow Money,,,,,,
,Bank of England Balance Sheet,Nominal GDP,,% of lagged nominal GDP,,,
Documentation,"Total assets, œmn, 1696-1697 - 14th March 1696 and 25th June 1697, 1698-1764 - End-August balance sheet, 1766-1966 - End-February balance sheet,February, 1858-1966, 1966-2014 third Wednesday in February 
",Composite estimate of UK nominal GDP at market prices œmn,"Composite estimate of nominal GDP at market prices œmn, with S Ireland included before 1921.",Composite estimate of UK nominal GDP at market prices œmn,"Composite estimate of nominal GDP at market prices œmn, with S Ireland included before 1921.",,
Source,Bank of England,,,,,,
1884,89.54,1183,1240,7.33,7.00,,
1885,92.16,1157,1212,7.79,7.43,,
1886,86.62,1166,1221,7.48,7.15,,
1887,86.50,1216,1274,7.42,7.08,,
1888,90.88,1267,1328,7.47,7.14,,
1889,89.05,1339,1402,7.03,6.71,,
1890,92.44,1372,1437,6.91,6.59,,
1891,98.50,1373,1438,7.18,6.86,,
1892,96.04,1336,1400,7.00,6.68,,
1893,97.38,1337,1401,7.29,6.96,,
1894,102.40,1411,1478,7.66,7.31,,
1895,111.54,1446,1515,7.90,7.55,,
1896,146.04,1493,1564,10.10,9.64,,
1897,128.07,1536,1609,8.58,8.19,,
1898,121.90,1622,1699,7.93,7.57,,
1899,120.39,1720,1802,7.42,7.09,,
1900,125.03,1793,1878,7.27,6.94,,
1901,124.47,1800,1885,6.94,6.63,,
1902,131.70,1813,1899,7.32,6.99,,
1903,125.50,1789,1874,6.92,6.61,,
1904,124.03,1789,1873,6.93,6.62,,
1905,128.53,1854,1942,7.19,6.86,,
1906,135.81,1933,2025,7.33,6.99,,
1907,129.75,2010,2105,6.71,6.41,,
1908,135.53,1912,2003,6.74,6.44,,
1909,130.28,1951,2044,6.81,6.50,,
1910,124.67,2035,2132,6.39,6.10,,
1911,130.62,2118,2219,6.42,6.13,,
1912,141.69,2212,2317,6.69,6.39,,
1913,138.45,2302,2411,6.26,5.98,,
1914,141.97,2331,2441,6.17,5.89,,
1915,258.73,2805,2938,11.10,10.60,,
1916,239.77,3270,3425,8.55,8.16,,
1917,305.16,4073,4267,9.33,8.91,,
1918,262.28,4860,5090,6.44,6.15,,
1919,261.97,5220,5467,5.39,5.15,,
1920,336.39,5770,5770,6.44,6.15,,
1921,290.29,4738,4738,5.03,5.03,,
1922,301.23,4305,4305,6.36,6.36,,
1923,295.13,4108,4108,6.86,6.86,,
1924,287.72,4216,4216,7.00,7.00,,
1925,286.37,4354,4354,6.79,6.79,,
1926,303.34,4200,4200,6.97,6.97,,
1927,303.09,4441,4441,7.22,7.22,,
1928,303.07,4441,4441,6.82,6.82,,
1929,536.82,4531,4531,12.09,12.09,,
1930,528.52,4457,4457,11.66,11.66,,
1931,527.65,4168,4168,11.84,11.84,,
1932,528.21,4078,4078,12.67,12.67,,
1933,594.93,4151,4151,14.59,14.59,,
1934,629.26,4362,4362,15.16,15.16,,
1935,626.33,4558,4558,14.36,14.36,,
1936,629.32,4816,4816,13.81,13.81,,
1937,683.16,5151,5151,14.18,14.18,,
1938,702.49,5313,5313,13.64,13.64,,
1939,699.22,5715,5715,13.16,13.16,,
1940,782.38,6937,6937,13.69,13.69,,
1941,837.69,8357,8357,12.08,12.08,,
1942,998.25,9157,9157,11.94,11.94,,
1943,1207.46,9747,9747,13.19,13.19,,
1944,1381.24,9831,9831,14.17,14.17,,
1945,1554.65,9568,9568,15.81,15.81,,
1946,1722.46,9627,9627,18.00,18.00,,
1947,1836.46,10403,10403,19.08,19.08,,
1948,1764.69,11577,11577,16.96,16.96,,
1949,1733.45,12331,12331,14.97,14.97,,
1950,1867.42,12898,12898,15.14,15.14,,
1951,1774.22,14477,14477,13.76,13.76,,
1952,1797.08,15715,15715,12.41,12.41,,
1953,1934.66,16843,16843,12.31,12.31,,
1954,1959.38,17756,17756,11.63,11.63,,
1955,2094.63,19292,19292,11.80,11.80,,
1956,2186.53,20933,20933,11.33,11.33,,
1957,2256.23,22180,22180,10.78,10.78,,
1958,2327.20,23270,23270,10.49,10.49,,
1959,2396.15,24378,24378,10.30,10.30,,
1960,2509.61,26155,26155,10.29,10.29,,
1961,2766.33,27765,27765,10.58,10.58,,
1962,2920.53,29017,29017,10.52,10.52,,
1963,2714.39,30915,30915,9.35,9.35,,
1964,2831.08,33717,33717,9.16,9.16,,
1965,3042.94,36366,36366,9.02,9.02,,
1966,3294.80,38776,38776,9.06,9.06,,
1967,3532.70,40960,40960,9.11,9.11,,
1968,3742.40,44900,44900,9.14,9.14,,
1969,3870.70,48527,48527,8.62,8.62,,
1970,3887.00,54451,54451,8.01,8.01,,
1971,4668.00,60860,60860,8.57,8.57,,
1972,4242.00,68054,68054,6.97,6.97,,
1973,5484.00,78594,78594,8.06,8.06,,
1974,6564.00,88183,88183,8.35,8.35,,
1975,6945.00,109274,109274,7.88,7.88,,
1976,7677.00,129450,129450,7.03,7.03,,
1977,8156.00,150816,150816,6.30,6.30,,
1978,10004.00,175163,175163,6.63,6.63,,
1979,10193.00,207293,207293,5.82,5.82,,
1980,11065.00,243097,243097,5.34,5.34,,
1981,12112.00,269085,269085,4.98,4.98,,
1982,12701.00,294814,294814,4.72,4.72,,
1983,15961.00,323001,323001,5.41,5.41,,
1984,14315.00,346946,346946,4.43,4.43,,
1985,19603.00,381251,381251,5.65,5.65,,
1986,19219.00,410311,410311,5.04,5.04,,
1987,17256.00,455965,455965,4.21,4.21,,
